strategy,n_sessions,mean_net,std_net,median_net,win_rate,risk_of_ruin,mean_drawdown,ev_per_hand,composite_score,rank
oscars_grind,100,9.32,237.63097951286238,55.5,0.4361111111111111,0.0,252.28,,0.8345423801480657,1
flat,100,-1.46,113.4469501795906,-1.0,0.4361111111111111,0.0,121.28,,0.7449181953396132,2
paroli,100,-5.02,215.5141364975927,-19.0,0.4361111111111111,0.0,219.61,,0.5830415494969754,3
1326,100,-8.4,261.8984690310504,-63.0,0.4361111111111111,0.0,251.97,,0.4806851784144117,4
martingale,100,11.77,441.31360056132894,175.0,0.4296002600340836,0.13,385.48,,0.3888888888888889,5
